Freq_Thz,S11-db,VSWR,W1
3.9,-10.42327356,1.861996266,20
3.92,-9.939430453,1.934447231,20
3.94,-9.357963705,2.032545291,20
3.96,-8.762387619,2.147889561,20
3.98,-8.201318794,2.27324785,20
4,-7.697763177,2.402539036,20
4.02,-7.260738402,2.530288272,20
4.04,-6.892052711,2.651431209,20
4.06,-6.589977707,2.761343883,20
4.08,-6.351378992,2.855918463,20
4.1,-6.172949693,2.931640613,20
4.12,-6.051878738,2.985672974,20
4.14,-5.98610882,3.015978891,20
4.16,-5.974328734,3.021480258,20
4.18,-6.015875674,3.002177369,20
4.2,-6.110694344,2.959145985,20
4.22,-6.259453126,2.894367854,20
4.24,-6.46388107,2.810415678,20
4.26,-6.727299666,2.71009361,20
4.28,-7.055305783,2.596142116,20
4.3,-7.456414608,2.47112469,20
4.32,-7.942446527,2.337526505,20
4.34,-8.528365696,2.198014805,20
4.36,-9.231248621,2.055728827,20
4.38,-10.0680818,1.914427156,20
4.4,-11.05173791,1.778412568,20
4.42,-12.18382974,1.652267693,20
4.44,-13.44053702,1.540652819,20
4.46,-14.74456877,1.448385248,20
4.48,-15.92224017,1.380710212,20
4.5,-16.69446583,1.342773289,20
4.52,-16.8221418,1.336929032,20
4.54,-16.34056392,1.359590728,20
4.56,-15.52232615,1.402256499,20
4.58,-14.63479283,1.455386591,20
4.6,-13.83511157,1.510513133,20
4.62,-13.19588584,1.56042544,20
4.64,-12.74711938,1.599042101,20
4.66,-12.50083954,1.621625227,20
4.68,-12.46137842,1.625340804,20
4.7,-12.62688362,1.609938583,20
4.72,-12.98434211,1.578236748,20
4.74,-13.50109322,1.535890152,20
4.76,-14.11888271,1.49008307,20
4.78,-14.75969621,1.447430465,20
4.8,-15.34809325,1.412086303,20
4.82,-15.83799793,1.385135086,20
4.84,-16.22048011,1.365511512,20
4.86,-16.50557421,1.351634152,20
4.88,-16.69735788,1.342639629,20
4.9,-16.78434344,1.338647245,20
4.92,-16.74905952,1.340260217,20
4.94,-16.58445728,1.347902166,20
4.96,-16.30193855,1.361483018,20
4.98,-15.92686934,1.380468777,20
5,-15.48889832,1.404120985,20
5.02,-15.01416094,1.431724051,20
5.04,-14.52134871,1.462758482,20
5.06,-14.02095304,1.49702072,20
5.08,-13.5170557,1.5346432,20
5.1,-13.01078783,1.575972641,20
5.12,-12.50413651,1.621316028,20
5.14,-12.00251539,1.670640262,20
5.16,-11.51542081,1.723313562,20
5.18,-11.0554905,1.777945558,20
5.2,-10.6368019,1.83235228,20
5.22,-10.27298859,1.883687657,20
5.24,-9.975680489,1.928748279,20
5.26,-9.753279328,1.964451468,20
5.28,-9.610335168,1.988363385,20
5.3,-9.547549907,1.999115498,20
5.32,-9.562590799,1.996525574,20
5.34,-9.651225121,1.981443583,20
5.36,-9.808476962,1.955423354,20
5.38,-10.02931221,1.920400369,20
5.4,-10.30907359,1.878414961,20
5.42,-10.64396352,1.831381114,20
5.44,-11.03141266,1.780948296,20
5.46,-11.46942298,1.728553216,20
5.48,-11.95383807,1.675682508,20
5.5,-12.4735581,1.624191064,20
5.52,-13.00458419,1.57650278,20
5.54,-13.50411321,1.535653967,20
5.56,-13.90691043,1.505248874,20
5.58,-14.12945043,1.489341372,20
5.6,-14.09046153,1.492084502,20
