"Freq [thz]","VSWR(1) [] - W1='4um'","VSWR(1) [] - W1='20um'","VSWR(1) [] - W1='30um'","VSWR(1) [] - W1='40um'","VSWR(1) [] - W1='50um'","VSWR(1) [] - W1='60um'"
3.6,1.89792267470096,1.41426343052264,1.59490317549748,1.37984816598557,1.52925062762743,1.40339611103326
3.62,1.77428625615998,1.39028850560421,1.54147901130044,1.35186019116822,1.65199979271537,1.48691103171604
3.64,1.63024444403206,1.39036395049031,1.49239475968649,1.34062741022453,1.77388611561068,1.5720086490648
3.66,1.4726083578936,1.41172055738653,1.44523423246826,1.33837804297744,1.89249818336269,1.65543221400508
3.68,1.31133583885586,1.44918162180557,1.39803864374709,1.3377763919478,2.00692036238224,1.73872430959988
3.7,1.15714102231531,1.49708710037012,1.35040333332402,1.33644804946263,2.11674185722908,1.82699179285099
3.72,1.02116288691138,1.55020910119295,1.30519859410889,1.34265584662264,2.220400856594,1.92552308190185
3.74,1.11448349565307,1.60395549093763,1.27113811026986,1.36887166372036,2.3134305825543,2.03355417501813
3.76,1.25325694261658,1.65464569206537,1.26415823308844,1.41558795124509,2.38751037225001,2.13846905668214
3.78,1.39656313368914,1.69983220758238,1.29981157540166,1.47362419196144,2.4313411723637,2.21894887324316
3.8,1.54174829396616,1.73815003102853,1.37944463591381,1.53483078649593,2.43389339861657,2.25926424052588
3.82,1.68782436606578,1.76843763051842,1.49171415996509,1.59463873538248,2.38960333303506,2.2610431520527
3.84,1.834881167179,1.78927019900321,1.62227649479043,1.65099394822199,2.30384256719526,2.24263713893416
3.86,1.98337912248403,1.80245841431398,1.75944506991765,1.70354025972648,2.19630329029982,2.22983257494139
3.88,2.13350351042359,1.82048746522091,1.89791372370151,1.75328931801989,2.09892933502067,2.2420021548392
3.9,2.28468078372068,1.8619962664932,2.03829171713626,1.8024733265889,2.04458242366429,2.2811491554845
3.92,2.43535695461221,1.93444723131529,2.1828490842669,1.85434266720947,2.04849675444509,2.3344568286702
3.94,2.58304887095893,2.03254529139742,2.33246397336149,1.91279389420309,2.09870294428144,2.38659421728793
3.96,2.72458563533165,2.14788956120323,2.48613401598711,1.98170308877757,2.16822488365741,2.42866477011265
3.98,2.85654638708444,2.27324785032874,2.64145646855149,2.06396302768308,2.23434954009758,2.45906045684922
4,2.9756750866987,2.40253903590443,2.79508307771198,2.16040400350243,2.28657753390751,2.48002839721082
4.02,3.07926740217164,2.53028827164579,2.94302186083648,2.26906580774757,2.32367796184965,2.49424209865165
4.04,3.165372638413,2.65143120850953,3.08087349390801,2.38519889226812,2.34795856110252,2.50313717609358
4.06,3.2328286446353,2.76134388319267,3.20406274193329,2.50205188905588,2.36148800418993,2.5068258784081
4.08,3.28112249530604,2.85591846255692,3.30808865247533,2.61205711290307,2.36499086465882,2.50477935187228
4.1,3.31018075337445,2.93164061321946,3.38880120833678,2.70793723277007,2.35841527444216,2.49654206165159
4.12,3.32013841335557,2.98567297417067,3.44269940794705,2.78353475739718,2.34200379858639,2.48212154269647
4.14,3.31117842667421,3.01597889098058,3.46722651628782,2.83434255527258,2.31699426331739,2.46197655024346
4.16,3.2834451529701,3.02148025795859,3.4610185680329,2.85783915850571,2.28568157899971,2.43671018629341
4.18,3.23702931335078,3.00217736890048,3.4240563112734,2.85349022728636,2.25076730676529,2.40665479712798
4.2,3.17202266778098,2.95914598516545,3.35768676350758,2.82250224273012,2.21439149197477,2.37159286566005
4.22,3.0885866072205,2.89436785352921,3.2645108301899,2.76733960807467,2.17737872265553,2.33082294367199
4.24,2.98712648053572,2.81041567792953,3.14815972309975,2.69128343089453,2.13915530136468,2.28357492158879
4.26,2.86853843960533,2.71009361006222,3.01299235477722,2.59811438712181,2.09840144269402,2.2296597865388
4.28,2.73461052029123,2.59614211617614,2.86374280308436,2.49205978138171,2.05408820793035,2.17003113176696
4.3,2.58845531616233,2.47112468972045,2.70514885785254,2.37786739752049,2.00637224233154,2.10692553044609
4.32,2.43473353983277,2.33752650527321,2.54161399144197,2.26068239581327,1.95700253765082,2.04337407143606
4.34,2.27923894849155,2.19801480528023,2.37699037713665,2.14555290129218,1.90908923936726,1.98219447141115
4.36,2.12773365670985,2.05572882679646,2.21458643305088,2.03667232427966,1.86621000415044,1.92487463682337
4.38,1.98453658277274,1.91442715618955,2.05744494243994,1.93685653318482,1.83094461907321,1.87099047721979
4.4,1.85179929806829,1.77841256792561,1.90877656603634,1.84767750501862,1.80329217309702,1.81852615250178
4.42,1.7298687398353,1.65226769305009,1.77225881442301,1.77006357061233,1.77983605715459,1.76488510416251
4.44,1.61834340030602,1.54065281853637,1.65195653946482,1.70484247806152,1.75447791983627,1.70797423905171
4.46,1.51721074272586,1.44838524815043,1.55195363673051,1.65280859715455,1.72058556664631,1.64684023472987
4.48,1.42777051741506,1.38071021208002,1.47596319501633,1.61427764131837,1.67335835368596,1.58176435626002
4.5,1.35338273052262,1.34277328949104,1.426776719152,1.58836195248405,1.61119267958286,1.51399370016087
4.52,1.29991298882363,1.33692903189107,1.4050345439503,1.57239775532356,1.53568397540895,1.44535022863342
4.54,1.27437876169684,1.35959072784866,1.40772923273829,1.56186953647881,1.45066186324045,1.37791031576115
4.56,1.27966793464914,1.40225649905261,1.42817157429949,1.55088678212633,1.3609000561086,1.31386550650238
4.58,1.30970853804412,1.4553865906043,1.45780908672135,1.53298038198171,1.2710346072868,1.25566608625235
4.6,1.35278409947497,1.51051313313914,1.4881826111304,1.50203935080803,1.18526036741536,1.20653203158547
4.62,1.39754185311775,1.56042544034257,1.51200315824018,1.45346741848621,1.10951355744544,1.17126514139937
4.64,1.43543620284546,1.59904210072785,1.52369168721978,1.38570458718131,1.06754076313411,1.15608185973224
4.66,1.46117386054443,1.62162522652846,1.51987387056056,1.30172363459409,1.10427048009833,1.16452499342972
4.68,1.47296875929838,1.62534080419192,1.4999733241378,1.20946180573058,1.17998082766268,1.19317770235353
4.7,1.47264370146978,1.60993858325541,1.46672872895908,1.12135249641205,1.26622150884164,1.23541774471833
4.72,1.46502615028533,1.57823674836418,1.4262002640472,1.06446578595882,1.35484286705035,1.28626261594752
4.74,1.45616394872812,1.53589015230823,1.38674205569143,1.09293623826677,1.4406663868892,1.34289428697948
4.76,1.4508623314866,1.49008307036153,1.35669258891749,1.15975822241884,1.51959925873869,1.40369137351973
4.78,1.45089404189378,1.44743046507145,1.34130860757479,1.22912904085987,1.58880632333115,1.46741303376384
4.8,1.45499020265753,1.41208630346552,1.34072538235842,1.29495356059957,1.64688910546519,1.53271044665282
4.82,1.4602278170216,1.38513508566126,1.35084483419232,1.3557148613094,1.6938660988617,1.59789030111787
4.84,1.46355156320856,1.36551151244211,1.36629599139616,1.41083714907347,1.73102156550042,1.66090845459532
