"Freq [thz]","dB(S(1,1)) [] - W1='4um'","dB(S(1,1)) [] - W1='20um'","dB(S(1,1)) [] - W1='30um'","dB(S(1,1)) [] - W1='40um'","dB(S(1,1)) [] - W1='50um'","dB(S(1,1)) [] - W1='60um'"
4.42,-11.4579400419138,-12.1838297374206,-11.1014179806243,-11.1192631431164,-11.040317442423,-11.1616177091141
4.44,-12.535937491718,-13.4405370229771,-12.1869551328577,-11.6809981753549,-11.2478552183655,-11.6525414643883
4.46,-13.7450407941339,-14.7445687651738,-13.2994036156463,-12.1784010220763,-11.5395366150643,-12.2386140341651
4.48,-15.0799356810047,-15.9222401695827,-14.3234162695591,-12.5797400118299,-11.9762185171938,-12.9433898286622
4.5,-16.4689448015854,-16.6944658318457,-15.0965819902429,-12.867608535957,-12.6132155120553,-13.7881277802998
4.52,-17.6943226213093,-16.8221417959429,-15.4725850877081,-13.0528039990808,-13.5037294219912,-14.7927877790099
4.54,-18.3702459896517,-16.3405639223674,-15.4247159142005,-13.1784304675542,-14.7086516896269,-15.9761344795656
4.56,-18.2245783083777,-15.5223261498707,-15.073230779147,-13.3125766261915,-16.313813058352,-17.3518904433301
4.58,-17.4520800321811,-14.6347928316722,-14.5972747418594,-13.5384120486194,-18.4639800922297,-18.9120337344136
4.6,-16.4814614778855,-13.8351115733904,-14.1459988938943,-13.9511275292097,-21.4344133657585,-20.5744563857698
4.62,-15.6076667884459,-13.1958858392067,-13.8149508240067,-14.6646841289054,-25.6942886802959,-22.0608776516518
4.64,-14.9530444684916,-12.7471193757529,-13.6592123396327,-15.8272372331076,-29.7177623478258,-22.8062562911488
4.66,-14.5455522104489,-12.5008395376025,-13.7096162669592,-17.6488769307054,-26.0988037901392,-22.3826144555932
4.68,-14.3677234899587,-12.461378415967,-13.9797708243402,-20.4636331053395,-21.6645285896373,-21.1023365111062
4.7,-14.3725533180871,-12.6268836207848,-14.4611371535652,-24.8512824911526,-18.6011843324618,-19.5503899830023
4.72,-14.4868831032686,-12.9843421109311,-15.1062586243395,-30.1095681577034,-16.4385170685105,-18.0472295865992
4.74,-14.6227278631174,-13.5010932162132,-15.8076816866549,-27.0514181577897,-14.8679699068781,-16.6918488809885
4.76,-14.7054992893559,-14.1188827058174,-16.400177001865,-22.6188383291246,-13.7132589814633,-15.4965847156196
4.78,-14.7050007893473,-14.759696206245,-16.7262284146836,-19.7611014541472,-12.8625419076066,-14.4508207204486
4.8,-14.6409543645547,-15.3480932506043,-16.7389195399107,-17.8204051719794,-12.2381181868025,-13.5418865630958
4.82,-14.5600491986531,-15.837997929915,-16.5221775675917,-16.4204142383209,-11.7820067160699,-12.7599860024686
4.84,-14.5092721343497,-16.220480112281,-16.2047380415331,-15.3699633624933,-11.4478988101478,-12.0977725170572
4.86,-14.5233562714305,-16.5055742075807,-15.8834779268904,-14.5618831620701,-11.1972141101427,-11.5491638364253
4.88,-14.6245539938536,-16.6973578830965,-15.6083247872945,-13.9292052436072,-10.9989109609848,-11.1089595084642
4.9,-14.8271259995744,-16.7843434407672,-15.3962898242935,-13.4266235618302,-10.8325287386872,-10.7734063500149
4.92,-15.1416897924558,-16.7490595155843,-15.2450906746259,-13.0225758409842,-10.6916517443577,-10.5407900929837
4.94,-15.5778414053579,-16.5844572773436,-15.1394137325041,-12.6947085139168,-10.5842630992768,-10.4115587926637
4.96,-16.1444857780089,-16.3019385470108,-15.0523899869377,-12.4259394202385,-10.5288081033731,-10.3873514029008
4.98,-16.8457889275832,-15.926869340955,-14.9465670798249,-12.2007045871285,-10.5480875505915,-10.4695070548808
5,-17.6687569694444,-15.4888983246339,-14.7786808265426,-12.0032580987386,-10.6638084500417,-10.6572407422471
5.02,-18.551984646149,-15.014160939192,-14.5112397307592,-11.8196890838177,-10.8932574044496,-10.9455723251135
5.04,-19.3260586313607,-14.5213487101391,-14.1285130422557,-11.643476241131,-11.24751013394,-11.3231478305495
5.06,-19.6695821784826,-14.0209530422337,-13.6463980686226,-11.4812719956946,-11.7303176351887,-11.7706401138573
5.08,-19.2620616767847,-13.5170556984776,-13.1058122115629,-11.3541594235511,-12.3364508366816,-12.2611498354309
5.1,-18.127530140524,-13.0107878336161,-12.5530627494557,-11.2917812324574,-13.0487838036162,-12.7641395274789
5.12,-16.6176206867735,-12.5041365122377,-12.0223193626993,-11.3217768124479,-13.8353699541256,-13.2524271805327
5.14,-15.0652799718891,-12.0025153889709,-11.5305900819429,-11.4598182634679,-14.6487605914221,-13.709081581756
5.16,-13.6487015503842,-11.5154208125055,-11.0833068219199,-11.7048588053619,-15.4326697518213,-14.1302158215639
5.18,-12.4389055175517,-11.055490498844,-10.6827852331364,-12.0422252137528,-16.1358361876542,-14.5214599688424
5.2,-11.4563092423523,-10.6368019029883,-10.3339713824755,-12.4540599092642,-16.7243324173445,-14.8900461123516
5.22,-10.699432984802,-10.2729885934373,-10.0461898279567,-12.9317982073583,-17.1757723690991,-15.2358725436542
5.24,-10.1563927701567,-9.97568048887031,-9.83205493705847,-13.4808625647569,-17.4527670180487,-15.5438430149257
5.26,-9.80951947685455,-9.75327932788165,-9.70502583775671,-14.1104170152085,-17.4834047836204,-15.781009670138
5.28,-9.63777627995715,-9.61033516779885,-9.67658325584668,-14.8110387819443,-17.1929472747035,-15.903319162665
5.3,-9.61869405612584,-9.54754990667119,-9.75372340387094,-15.5316238751995,-16.5805435567093,-15.8761042750355
5.32,-9.72984485446555,-9.56259079937008,-9.9375460986873,-16.1721905614722,-15.7498455024591,-15.6984008854214
5.34,-9.94940689897078,-9.65122512103324,-10.2236056751405,-16.613331907268,-14.8476265008986,-15.4084994003355
5.36,-10.2551733192045,-9.80847696163186,-10.6039188442369,-16.7807896561041,-13.9903349427352,-15.0632004839757
5.38,-10.6219360594865,-10.0293122126732,-11.0692237521319,-16.689234107117,-13.2403990734326,-14.7091197649222
5.4,-11.0182916480207,-10.3090735896444,-11.608731915257,-16.4136443815585,-12.6169134110709,-14.3652618118558
5.42,-11.4065843113574,-10.6439635217365,-12.2043268236679,-16.0269159372936,-12.1120224621116,-14.020320665493
5.44,-11.7512457350452,-11.0314126581198,-12.8196077082209,-15.56565801571,-11.7018395278317,-13.641440945184
5.46,-12.0354691338516,-11.469422975769,-13.3937811065443,-15.0325508636869,-11.3521633651023,-13.1928260015285
5.48,-12.2730576366361,-11.953838069329,-13.8586364527089,-14.4168078456675,-11.023478625483,-12.658976280396
5.5,-12.4994377610048,-12.4735581015108,-14.1781086138512,-13.7163746354494,-10.6803396463279,-12.0578233637121
5.52,-12.7468277728377,-13.0045841892657,-14.3693994770386,-12.9523734894033,-10.3058495545476,-11.4319509756914
5.54,-13.0237103391926,-13.5041132103722,-14.4781221230176,-12.1691897896064,-9.91158563242958,-10.8263758124572
5.56,-13.3083617272103,-13.9069104322982,-14.5390959337041,-11.4216132803962,-9.53176221066891,-10.272489359462
5.58,-13.5525859115171,-14.1294504272382,-14.5557674396938,-10.7584701356988,-9.20487328506574,-9.78645312983207
5.6,-13.6918331610757,-14.0904615349144,-14.4958052805511,-10.2116484055962,-8.9584046033141,-9.37607219730173
5.62,-13.6630711977086,-13.7479155832386,-14.2948202874405,-9.79361271944353,-8.80395289543107,-9.04683874896409
5.64,-13.4281377265574,-13.128322328716,-13.8757518579492,-9.49990428862592,-8.73819306518035,-8.80220072106767
